Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,Unnamed: 17,Latitude,Longitude,GSPGroup
Anesco,Stripe,Solar,PV,No,Solar,, 	5.0 ,LV,England,Yorkshire and the Humber,DL107PW,,419640.0,502487.0,2016.0,SOL-001004,,54.41745103587928,-1.6988590548403124,_F
Anesco,The Rushes,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV379RG,,416507.0,255215.0,2016.0,SOL-001005,,52.194927779687006,-1.7599246643224538,_E
Anesco,Wymeswold,Solar,PV,No,Solar,, 	2.1 ,LV,England,East Midlands,LE126UA,,460007.0,323259.0,2016.0,SOL-001006,,52.80355695921828,-1.1113387492374844,_B
Anesco,Oxcroft,Solar,PV,No,Solar,, 	4.2 ,LV,England,East Midlands,S446AG,,446492.0,374323.0,2016.0,SOL-001011,,53.26387475568995,-1.3044488422904006,_B
Anesco,Berry Court,Solar,PV,No,Solar,, 	3.9 ,LV,England,South East,RG265AT,,461938.0,159221.0,2016.0,SOL-001013,,51.32872307814793,-1.112417797928398,_H
Anesco,Stud Farm,Solar,PV,No,Solar,, 	2.4 ,LV,England,East Midlands,NG228SX,,464448.0,361853.0,2016.0,SOL-001014,,53.149926264832004,-1.0378006866210732,_B
Anesco,Brookside,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV379RG,,414476.0,254127.0,2016.0,SOL-001016,,52.18520293036448,-1.7896835302502474,_E
Anesco,The Leys,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV379RG,,415118.0,253833.0,2016.0,SOL-001018,,52.18254267884733,-1.7803063726954595,_E
Anesco,Misson Park,Solar,PV,No,Solar,, 	5.0 ,LV,England,East Midlands,DN106DP,,467034.0,394719.0,2016.0,SOL-001037,,53.44498534026029,-0.9922122290834833,_B
Anesco,Crow Trees Solar Farm,Solar,PV,No,Solar,, 	4.7 ,LV,England,East Midlands,NG171JF,,447248.0,357200.0,2016.0,SOL-001040,,53.10990321063624,-1.2956412754666855,_B
Anesco,Hermitage,Solar,PV,No,Solar,, 	5.0 ,LV,England,East of England,MK455JD,,503595.0,232813.0,2016.0,SOL-001058,,51.98412610618095,-0.49292661505003194,_A
Anesco,Brook Hall,Solar,PV,No,Solar,, 	4.7 ,LV,England,South West,BA149PT,,385169.0,153475.0,2016.0,SOL-001070,,51.28022110670264,-2.2140207363016735,_H
Anesco,Wymeswold - Wide Lane,Solar,PV,No,Solar,, 	4.3 ,LV,England,East Midlands,LE126SE,,463380.0,323140.0,2016.0,SOL-001077,,52.80210232676592,-1.0613361463154285,_B
Anesco,Abbey Fields Solar Farm,Solar,PV,No,Solar,, 	4.9 ,LV,England,South East,ME108HD,TR0267762028,602677.0,162028.0,2016.0,SOL-001079,,51.321238544302496,0.9073189069023028,_J
Anesco,Warren,Solar,PV,No,Solar,, 	5.0 ,LV,England,South East,SO519AG,,437906.0,121342.0,2016.0,SOL-001080,,50.99023564719271,-1.4612958618738574,_H
Anesco,Hungerford,Solar,PV,No,Solar,, 	4.5 ,LV,England,South East,RG278SW,,478178.0,153997.0,2016.0,SOL-001081,,51.279761743953834,-0.880518247070419,_H
Anesco,Blue House,Solar,PV,No,Solar,, 	5.0 ,LV,England,North East,TS225PW,,446965.0,526727.0,2016.0,SOL-001084,,54.633492638481684,-1.2739597644400042,_F
Anesco,Low Burntoft,Solar,PV,No,Solar,, 	5.0 ,LV,England,North East,TS225PD,,445706.0,527911.0,2016.0,SOL-001086,,54.64424737237847,-1.293277429414873,_F
Anesco,Palmersford,Solar,PV,No,Solar,, 	3.0 ,LV,England,South West,BH236BG,,409981.0,99040.0,2015.0,SOL-001088,,50.79084379912657,-1.8597655322896207,_H
Anesco,Granville,Solar,PV,No,Solar,, 	4.4 ,LV,England,West Midlands,TF28PQ,,372363.0,313370.0,2016.0,SOL-001091,,52.717272877505074,-2.4105730847262774,_E
Anesco,High Meadow,Solar,PV,No,Solar,, 	3.9 ,LV,England,North East,TS211EA,,439442.0,521774.0,2016.0,SOL-001096,,54.589626146768744,-1.3911585041939878,_F
Anesco,Heywood Grange,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,ST102PL,,396689.0,345502.0,2016.0,SOL-001097,,53.00682014906181,-2.0507920667399566,_E
Anesco,Blisworth Solar Farm,Solar,PV,No,Solar,, 	3.6 ,LV,England,East Midlands,NN73DA,,473113.0,252638.0,2016.0,SOL-001098,,52.16717523442003,-0.9324438564646379,_B
